,Description,Calories,Protein,TotalFat,Carbohydrate
99,WHEY ACID FLUID,24.0,0.76,0.09,5.12
100,WHEY ACID DRIED,339.0,11.73,0.54,73.45
101,WHEY SWEET FLUID,27.0,0.85,0.36,5.14
102,WHEY SWEET DRIED,353.0,12.93,1.07,74.46
103,YOGURT PLN WHL MILK 8 GRAMS PROT PER 8 OZ,61.0,3.47,3.25,4.66
104,YOGURT PLN LOFAT 12 GRAMS PROT PER 8 OZ,63.0,5.25,1.55,7.04
105,YOGURT PLN SKIM MILK 13 GRAMS PROT PER 8 OZ,56.0,5.73,0.18,7.68
106,YOGURT VANILLA LOFAT 11 GRAMS PROT PER 8 OZ,85.0,4.93,1.25,13.8
107,YOGURT FRUIT LOFAT 9 GRAMS PROT PER 8 OZ,99.0,3.98,1.15,18.64
108,YOGURT FRUIT LOFAT 10 GRAMS PROT PER 8 OZ,102.0,4.37,1.08,19.05
109,YOGURT FRUIT LOFAT 11 GRAMS PROT PER 8 OZ,105.0,4.86,1.41,18.6
110,EGG WHL RAW FRSH,143.0,12.56,9.51,0.72
111,EGG WHITE RAW FRESH,52.0,10.9,0.17,0.73
112,EGG YOLK RAW FRSH,322.0,15.86,26.54,3.59
113,EGG YOLK RAW FROZEN,303.0,15.5,25.6,1.15
114,EGG YOLK RAW FRZ SUGARED,307.0,13.8,22.75,10.8
115,EGG WHL CKD FRIED,196.0,13.61,14.84,0.83
116,EGG WHL CKD HARD-BOILED,155.0,12.58,10.61,1.12
117,EGG WHOLE COOKED OMELET,154.0,10.57,11.66,0.64
118,EGG WHL CKD POACHED,143.0,12.51,9.47,0.71
119,EGG WHL CKD SCRMBLD,149.0,9.99,10.98,1.61
120,EGG WHOLE DRIED,594.0,47.35,40.95,4.95
121,EGG WHL DRIED STABILIZED GLUCOSE RED,615.0,48.17,43.95,2.38
122,EGG WHITE DRIED FLAKES GLUCOSE RED,351.0,76.92,0.04,4.17
123,EGG WHITE DRIED PDR GLUCOSE RED,376.0,82.4,0.04,4.47
124,EGG YOLK DRIED,666.0,34.25,55.8,3.6
125,EGG DUCK WHOLE FRESH RAW,185.0,12.81,13.77,1.45
126,EGG GOOSE WHOLE FRESH RAW,185.0,13.87,13.27,1.35
127,EGG QUAIL WHOLE FRESH RAW,158.0,13.05,11.09,0.41
128,EGG TURKEY WHL FRSH RAW,171.0,13.68,11.88,1.15
129,EGG SUBSTITUTE POWDER,444.0,55.5,13.0,21.8
130,BUTTER WITHOUT SALT,717.0,0.85,81.11,0.06
131,CHEESE PARMESAN SHREDDED,415.0,37.86,27.34,3.41
132,MILK NONFAT FLUID WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM),34.0,3.37,0.08,4.96
133,MILK RED FAT FLUID 2% MILKFAT W/ NONFAT MILK SOL WO/ VIT A,56.0,3.95,1.98,5.49
134,MILK CND EVAP W/ VIT A,134.0,6.81,7.56,10.04
135,MILK DRY NONFAT REG W/ ADDED VIT A & VITAMIN D,362.0,36.16,0.77,51.98
136,MILK DRY NONFAT INST WO/ ADDED VIT A & VITAMIN D,358.0,35.1,0.72,52.19
137,CHEESE GOAT HARD TYPE,452.0,30.52,35.59,2.17
138,CHEESE GOAT SEMISOFT TYPE,364.0,21.58,29.84,2.54
139,CHEESE GOAT SOFT TYPE,268.0,18.52,21.08,0.89
140,EGG YOLK RAW FRZ SALTED,274.0,14.0,23.0,1.6
141,CHEESE SUB MOZZARELLA,248.0,11.47,12.22,23.67
142,CHEESE FONDUE,229.0,14.23,13.47,3.77
143,CHEESE SAU PREP FROM RECIPE,197.0,10.33,14.92,5.48
144,CHEESE MEXICAN QUESO ANEJO,373.0,21.44,29.98,4.63
145,CHEESE MEXICAN QUESO ASADERO,356.0,22.6,28.26,2.87
146,CHEESE MEXICAN QUESO CHIHUAHUA,374.0,21.56,29.68,5.56
147,CHEESE LOFAT CHEDDAR OR COLBY,173.0,24.35,7.0,1.91
148,CHEESE LOW-SODIUM CHEDDAR OR COLBY,398.0,24.35,32.62,1.91
149,EGG WHOLE RAW FROZEN,148.0,11.95,10.2,1.05
150,EGG WHITE RAW FROZEN,47.0,9.8,0.0,1.05
151,EGG WHITE DRIED,382.0,81.1,0.0,7.8
152,MILK RED FAT FLUID 2% MILKFAT WO/ ADDED VIT A & VIT D,50.0,3.3,1.98,4.8
153,MILK FLUID 1% FAT WO/ ADDED VIT A & VIT D,42.0,3.37,0.97,4.99
154,SOUR CREAM REDUCED FAT,181.0,7.0,14.1,7.0
155,SOUR CREAM LIGHT,138.0,3.5,10.6,7.1
156,SOUR CREAM FAT FREE,74.0,3.1,0.0,15.6
157,USDA COMMODITY CHS CHEDDAR RED FAT,282.0,27.2,18.3,2.0
158,YOGURT VAN OR LEM FLAV NONFAT MILK SWTND W/LOW-CALORIE SWTNR,43.0,3.86,0.18,7.5
159,PARMESAN CHS TOPPING FAT FREE,370.0,40.0,5.0,40.0
160,CHEESE CREAM FAT FREE,105.0,15.69,1.0,7.66
161,YOGURT CHOC NONFAT MILK,112.0,3.53,0.0,23.53
162,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,12.0,21.0,9.2
163,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,16.3,9.5,16.2
164,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148.0,22.7,1.0,11.7
165,KRAFT VELVEETA PAST PROCESS CHS SPRD,303.0,16.3,22.0,9.8
