,Description,Calories,Protein,TotalFat,Carbohydrate
4173,GROUPER MXD SP CKD DRY HEAT,118.0,24.84,1.3,0.0
4174,HADDOCK RAW,74.0,16.32,0.45,0.0
4175,HADDOCK COOKED DRY HEAT,90.0,19.99,0.55,0.0
4176,HADDOCK SMOKED,116.0,25.23,0.96,0.0
4177,HALIBUT ATLANTIC&PACIFIC RAW,91.0,18.56,1.33,0.0
4178,HALIBUT ATLANTIC&PACIFIC CKD DRY HEAT,111.0,22.54,1.61,0.0
4179,HALIBUT GREENLAND RAW,186.0,14.37,13.84,0.0
4180,HERRING ATLANTIC RAW,158.0,17.96,9.04,0.0
4181,HERRING ATLANTIC CKD DRY HEAT,203.0,23.03,11.59,0.0
4182,HERRING ATLANTIC PICKLED,262.0,14.19,18.0,9.64
4183,HERRING ATLANTIC KIPPERED,217.0,24.58,12.37,0.0
4184,HERRING PACIFIC RAW,195.0,16.39,13.88,0.0
4185,LING RAW,87.0,18.99,0.64,0.0
4186,LINGCOD RAW,85.0,17.66,1.06,0.0
4187,MACKEREL ATLANTIC RAW,205.0,18.6,13.89,0.0
4188,MACKEREL ATLANTIC CKD DRY HEAT,262.0,23.85,17.81,0.0
4189,MACKEREL JACK CND DRND SOL,156.0,23.19,6.3,0.0
4190,MACKEREL KING RAW,105.0,20.28,2.0,0.0
4191,MACKEREL PACIFIC&JACK MXD SP RAW,158.0,20.07,7.89,0.0
4192,MACKEREL SPANISH RAW,139.0,19.29,6.3,0.0
4193,MACKEREL SPANISH CKD DRY HEAT,158.0,23.59,6.32,0.0
4194,MILKFISH RAW,148.0,20.53,6.73,0.0
4195,MONKFISH RAW,76.0,14.48,1.52,0.0
4196,MULLET STRIPED RAW,117.0,19.35,3.79,0.0
4197,MULLET STRIPED CKD DRY HEAT,150.0,24.81,4.86,0.0
4198,OCEAN PERCH ATLANTIC RAW,79.0,15.31,1.54,0.0
4199,OCEAN PERCH ATLANTIC CKD DRY HEAT,96.0,18.51,1.87,0.0
4200,POUT OCEAN RAW,79.0,16.64,0.91,0.0
4201,PERCH MIXED SPECIES RAW,91.0,19.39,0.92,0.0
4202,PERCH MXD SP CKD DRY HEAT,117.0,24.86,1.18,0.0
4203,PIKE NORTHERN RAW,88.0,19.26,0.69,0.0
4204,PIKE NORTHERN CKD DRY HEAT,113.0,24.69,0.88,0.0
4205,PIKE WALLEYE RAW,93.0,19.14,1.22,0.0
4206,POLLOCK ATLANTIC RAW,92.0,19.44,0.98,0.0
4207,POLLOCK WALLEYE RAW,56.0,12.19,0.41,0.0
4208,POLLOCK WALLEYE CKD DRY HEAT,111.0,23.48,1.18,0.0
4209,POMPANO FLORIDA RAW,164.0,18.48,9.47,0.0
4210,POMPANO FLORIDA CKD DRY HEAT,211.0,23.69,12.14,0.0
4211,ROCKFISH PACIFIC MXD SP RAW,90.0,18.36,1.34,0.0
4212,ROCKFISH PACIFIC MXD SP CKD DRY HEAT,109.0,22.23,1.62,0.0
4213,ROE MIXED SPECIES RAW,143.0,22.32,6.42,1.5
4214,ROUGHY ORANGE RAW,76.0,16.41,0.7,0.0
4215,SABLEFISH RAW,195.0,13.41,15.3,0.0
4216,SABLEFISH SMOKED,257.0,17.65,20.14,0.0
4217,SALMON ATLANTIC WILD RAW,142.0,19.84,6.34,0.0
4218,SALMON CHINOOK SMOKED,117.0,18.28,4.32,0.0
4219,SALMON CHINOOK RAW,179.0,19.93,10.43,0.0
4220,SALMON CHUM RAW,120.0,20.14,3.77,0.0
4221,FISH SALMON CHUM CND DRND SOL W/ BONE,141.0,21.43,5.5,0.0
4222,SALMON COHO WILD RAW,146.0,21.62,5.93,0.0
4223,SALMON COHO WILD CKD MOIST HEAT,184.0,27.36,7.5,0.0
4224,SALMON PINK RAW,127.0,20.5,4.4,0.0
4225,FISH SALMON PINK CND TOTAL CAN CONTENTS,129.0,19.68,4.97,0.0
4226,SALMON SOCKEYE RAW,142.0,21.31,5.61,0.0
4227,SALMON SOCKEYE CKD DRY HEAT,169.0,25.4,6.69,0.0
4228,FISH SALMON SOCKEYE CND DRND SOL,167.0,23.59,7.39,0.0
4229,SARDINE ATLANTIC CND IN OIL DRND SOL W/BONE,208.0,24.62,11.45,0.0
4230,SARDINE PACIFIC CND IN TOMATO SAU DRND SOL W/BONE,185.0,20.86,10.45,0.54
4231,SCUP RAW,105.0,18.88,2.73,0.0
4232,SEA BASS MXD SP RAW,97.0,18.43,2.0,0.0
4233,SEA BASS MXD SP CKD DRY HEAT,124.0,23.63,2.56,0.0
4234,SEATROUT MXD SP RAW,104.0,16.74,3.61,0.0
4235,SHAD AMERICAN RAW,197.0,16.93,13.77,0.0
4236,SHARK MIXED SPECIES RAW,130.0,20.98,4.51,0.0
4237,SHARK MXD SP CKD BATTER-DIPPED&FRIED,228.0,18.62,13.82,6.39
4238,SHEEPSHEAD RAW,108.0,20.21,2.41,0.0
4239,SHEEPSHEAD CKD DRY HEAT,126.0,26.02,1.63,0.0
4240,SMELT RAINBOW RAW,97.0,17.63,2.42,0.0
4241,SMELT RAINBOW CKD DRY HEAT,124.0,22.6,3.1,0.0
4242,SNAPPER MIXED SPECIES RAW,100.0,20.51,1.34,0.0
4243,SNAPPER MXD SP CKD DRY HEAT,128.0,26.3,1.72,0.0
4244,SPOT RAW,123.0,18.51,4.9,0.0
4245,STURGEON MXD SP RAW,105.0,16.14,4.04,0.0
4246,STURGEON MXD SP CKD DRY HEAT,135.0,20.7,5.18,0.0
4247,STURGEON MXD SP SMOKED,173.0,31.2,4.4,0.0
4248,SUCKER WHITE RAW,92.0,16.76,2.32,0.0
4249,SUNFISH PUMPKIN SEED RAW,89.0,19.4,0.7,0.0
4250,SURIMI,99.0,15.18,0.9,6.85
4251,SWORDFISH RAW,144.0,19.66,6.65,0.0
4252,SWORDFISH COOKED DRY HEAT,172.0,23.45,7.93,0.0
4253,TILEFISH RAW,96.0,17.5,2.31,0.0
4254,TILEFISH COOKED DRY HEAT,147.0,24.49,4.69,0.0
4255,TROUT MIXED SPECIES RAW,148.0,20.77,6.61,0.0
4256,TROUT RAINBOW WILD RAW,119.0,20.48,3.46,0.0
4257,TROUT RAINBOW WILD CKD DRY HEAT,150.0,22.92,5.82,0.0
4258,TUNA FRESH BLUEFIN RAW,144.0,23.33,4.9,0.0
4259,TUNA FRSH BLUEFIN CKD DRY HEAT,184.0,29.91,6.28,0.0
4260,TUNA LT CND IN OIL DRND SOL,198.0,29.13,8.21,0.0
4261,TUNA LT CND IN H2O DRND SOL,116.0,25.51,0.82,0.0
4262,TUNA FRESH SKIPJACK RAW,103.0,22.0,1.01,0.0
4263,TUNA WHITE CND IN OIL DRND SOL,186.0,26.53,8.08,0.0
4264,TUNA WHITE CND IN H2O DRND SOL,128.0,23.62,2.97,0.0
4265,TUNA FRESH YELLOWFIN RAW,109.0,24.4,0.49,0.0
4266,TUNA SALAD,187.0,16.04,9.26,9.41
4267,TURBOT EUROPEAN RAW,95.0,16.05,2.95,0.0
4268,WHITEFISH MXD SP RAW,134.0,19.09,5.86,0.0
4269,WHITEFISH MXD SP SMOKED,108.0,23.4,0.93,0.0
4270,WHITING MIXED SPECIES RAW,90.0,18.31,1.31,0.0
4271,WHITING MXD SP CKD DRY HEAT,116.0,23.48,1.69,0.0
4272,WOLFFISH ATLANTIC RAW,96.0,17.5,2.39,0.0
4273,YELLOWTAIL MXD SP RAW,146.0,23.14,5.24,0.0
4274,CRAB ALASKA KING RAW,84.0,18.29,0.6,0.0
4275,CRAB ALASKA KING CKD MOIST HEAT,97.0,19.35,1.54,0.0
4276,CRAB ALASKA KING IMITN MADE FROM SURIMI,95.0,7.62,0.46,15.0
4277,CRAB BLUE RAW,87.0,18.06,1.08,0.04
4278,CRAB BLUE CKD MOIST HEAT,83.0,17.88,0.74,0.0
4279,CRAB BLUE CANNED,83.0,17.88,0.74,0.0
4280,CRAB BLUE CRAB CAKES,155.0,20.21,7.52,0.48
4281,CRAB DUNGENESS RAW,86.0,17.41,0.97,0.74
4282,CRAB QUEEN RAW,90.0,18.5,1.18,0.0
4283,CRAYFISH MXD SP WILD RAW,77.0,15.97,0.95,0.0
4284,CRAYFISH MXD SP WILD CKD MOIST HEAT,82.0,16.77,1.2,0.0
4285,LOBSTER NORTHERN RAW,77.0,16.52,0.75,0.0
4286,LOBSTER NORTHERN CKD MOIST HEAT,89.0,19.0,0.86,0.0
4287,SHRIMP MIXED SPECIES RAW,71.0,13.61,1.01,0.91
4288,SHRIMP MXD SP CKD BREADED&FRIED,242.0,21.39,12.28,11.47
4289,SHRIMP MXD SP CKD MOIST HEAT,119.0,22.78,1.7,1.52
4290,SHRIMP MXD SP CND,100.0,20.42,1.36,0.0
4291,SHRIMP MXD SP IMITN MADE FROM SURIMI,101.0,12.39,1.47,9.13
4292,SPINY LOBSTER MXD SP RAW,112.0,20.6,1.51,2.43
4293,ABALONE MIXED SPECIES RAW,105.0,17.1,0.76,6.01
4294,ABALONE MXD SP CKD FRIED,189.0,19.63,6.78,11.05
4295,CLAM MIXED SPECIES RAW,86.0,14.67,0.96,3.57
4296,CLAM MXD SP CKD BREADED&FRIED,202.0,14.24,11.15,10.33
4297,CLAM MXD SP CKD MOIST HEAT,148.0,25.55,1.95,5.13
4298,CLAM MXD SP CND DRND SOL,142.0,24.25,1.59,5.9
4299,CLAM MXD SP CND LIQ,2.0,0.4,0.02,0.1
4300,CUTTLEFISH MXD SP RAW,79.0,16.24,0.7,0.82
4301,MUSSEL BLUE RAW,86.0,11.9,2.24,3.69
4302,MUSSEL BLUE CKD MOIST HEAT,172.0,23.8,4.48,7.39
4303,OCTOPUS COMMON RAW,82.0,14.91,1.04,2.2
4304,OYSTER EASTERN WILD RAW,51.0,5.71,1.71,2.72
4305,OYSTER EASTERN CKD BREADED&FRIED,199.0,8.77,12.58,11.62
4306,OYSTER EASTERN WILD CKD MOIST HEAT,102.0,11.42,3.42,5.45
4307,OYSTER EASTERN CANNED,68.0,7.06,2.47,3.91
4308,OYSTER PACIFIC RAW,81.0,9.45,2.3,4.95
4309,SCALLOP MIXED SPECIES RAW,69.0,12.06,0.49,3.18
4310,SCALLOP MXD SP CKD BREADED&FRIED,216.0,18.07,10.94,10.13
4311,SCALLOP MXD SP IMITN MADE FROM SURIMI,99.0,12.77,0.41,10.62
4312,SQUID MIXED SPECIES RAW,92.0,15.58,1.38,3.08
4313,SQUID MXD SP CKD FRIED,175.0,17.94,7.48,7.79
4314,WHELK UNSPECIFIED RAW,137.0,23.84,0.4,7.76
4315,WHELK UNSPEC CKD MOIST HEAT,275.0,47.68,0.8,15.52
4316,SALMON CHINOOK SMOKED (LOX) REG,117.0,18.28,4.32,0.0
4317,SALMON CHUM CND WO/SALT DRND SOL W/BONE,141.0,21.43,5.5,0.0
4318,SALMON PINK CND WO/SALT SOL W/BONE&LIQ,139.0,19.78,6.05,0.0
4319,SALMON SOCKEYE CND WO/SALT DRND SOL W/BONE,153.0,20.47,7.31,0.0
4320,TUNA LT CND IN OIL WO/SALT DRND SOL,198.0,29.13,8.21,0.0
4321,TUNA LT CND IN H2O WO/SALT DRND SOL,116.0,25.51,0.82,0.0
4322,TUNA WHITE CND IN OIL WO/SALT DRND SOL,186.0,26.53,8.08,0.0
4323,TUNA WHITE CND IN H2O WO/SALT DRND SOL,128.0,23.62,2.97,0.0
4324,BASS FRESHWATER MXD SP CKD DRY HEAT,146.0,24.18,4.73,0.0
4325,BASS STRIPED CKD DRY HEAT,124.0,22.73,2.99,0.0
4326,BLUEFISH COOKED DRY HEAT,159.0,25.69,5.44,0.0
4327,BURBOT COOKED DRY HEAT,115.0,24.76,1.04,0.0
4328,BUTTERFISH CKD DRY HEAT,187.0,22.15,10.28,0.0
4329,COD PACIFIC CKD DRY HEAT,85.0,18.73,0.5,0.0
4330,CUSK COOKED DRY HEAT,112.0,24.35,0.88,0.0
4331,DOLPHINFISH CKD DRY HEAT,109.0,23.72,0.9,0.0
4332,DRUM FRESHWATER CKD DRY HEAT,153.0,22.49,6.32,0.0
4333,HALIBUT GREENLAND CKD DRY HEAT,239.0,18.42,17.74,0.0
4334,HERRING PACIFIC CKD DRY HEAT,250.0,21.01,17.79,0.0
4335,LING COOKED DRY HEAT,111.0,24.35,0.82,0.0
4336,LINGCOD COOKED DRY HEAT,109.0,22.64,1.36,0.0
4337,MACKEREL KING CKD DRY HEAT,134.0,26.0,2.56,0.0
4338,MACKEREL PACIFIC&JACK MXD SP CKD DRY HEAT,201.0,25.73,10.12,0.0
4339,MILKFISH COOKED DRY HEAT,190.0,26.32,8.63,0.0
4340,MONKFISH COOKED DRY HEAT,97.0,18.56,1.95,0.0
4341,PIKE WALLEYE CKD DRY HEAT,119.0,24.54,1.56,0.0
4342,POLLOCK ATLANTIC CKD DRY HEAT,118.0,24.92,1.26,0.0
4343,POUT OCEAN CKD DRY HEAT,102.0,21.33,1.17,0.0
4344,ROE MXD SP CKD DRY HEAT,204.0,28.62,8.23,1.92
4345,SABLEFISH COOKED DRY HEAT,250.0,17.19,19.62,0.0
4346,SALMON ATLANTIC WILD CKD DRY HEAT,182.0,25.44,8.13,0.0
4347,SALMON CHINOOK CKD DRY HEAT,231.0,25.72,13.38,0.0
4348,SALMON CHUM CKD DRY HEAT,154.0,25.82,4.83,0.0
4349,SALMON PINK CKD DRY HEAT,153.0,24.58,5.28,0.0
4350,SCUP COOKED DRY HEAT,135.0,24.21,3.5,0.0
4351,SEATROUT MXD SP CKD DRY HEAT,133.0,21.46,4.63,0.0
4352,SHAD AMERICAN CKD DRY HEAT,252.0,21.71,17.65,0.0
4353,SPOT COOKED DRY HEAT,158.0,23.73,6.28,0.0
4354,SUCKER WHITE CKD DRY HEAT,119.0,21.49,2.97,0.0
4355,SUNFISH PUMPKIN SD CKD DRY HEAT,114.0,24.87,0.9,0.0
4356,TROUT MXD SP CKD DRY HEAT,190.0,26.63,8.47,0.0
4357,TUNA SKIPJACK FRSH CKD DRY HEAT,132.0,28.21,1.29,0.0
4358,TUNA YELLOWFIN FRSH CKD DRY HEAT,130.0,29.15,0.59,0.0
4359,TURBOT EUROPEAN CKD DRY HEAT,122.0,20.58,3.78,0.0
4360,WHITEFISH MXD SP CKD DRY HEAT,172.0,24.47,7.51,0.0
4361,WOLFFISH ATLANTIC CKD DRY HEAT,123.0,22.44,3.06,0.0
4362,YELLOWTAIL MXD SP CKD DRY HEAT,187.0,29.67,6.72,0.0
4363,CRAB DUNGENESS CKD MOIST HEAT,110.0,22.32,1.24,0.95
4364,CRAB QUEEN CKD MOIST HEAT,115.0,23.72,1.51,0.0
4365,SPINY LOBSTER MXD SP CKD MOIST HEAT,143.0,26.41,1.94,3.12
4366,CUTTLEFISH MXD SP CKD MOIST HEAT,158.0,32.48,1.4,1.64
4367,OCTOPUS COMMON CKD MOIST HEAT,164.0,29.82,2.08,4.4
4368,OYSTER PACIFIC CKD MOIST HEAT,163.0,18.9,4.6,9.9
4369,ROUGHY ORANGE CKD DRY HEAT,105.0,22.64,0.9,0.0
4370,CATFISH CHANNEL WILD CKD DRY HEAT,105.0,18.47,2.85,0.0
4371,CATFISH CHANNEL FARMED RAW,119.0,15.23,5.94,0.0
4372,CATFISH CHANNEL FARMED CKD DRY HEAT,144.0,18.44,7.19,0.0
4373,SALMON ATLANTIC FARMED RAW,208.0,20.42,13.42,0.0
4374,SALMON ATLANTIC FARMED CKD DRY HEAT,206.0,22.1,12.35,0.0
4375,SALMON COHO FARMED RAW,160.0,21.27,7.67,0.0
4376,SALMON COHO FARMED CKD DRY HEAT,178.0,24.3,8.23,0.0
4377,TROUT RAINBOW FARMED RAW,141.0,19.94,6.18,0.0
4378,TROUT RAINBOW FARMED CKD DRY HEAT,168.0,23.8,7.38,0.0
4379,CRAYFISH MXD SP FARMED RAW,72.0,14.85,0.97,0.0
4380,CRAYFISH MXD SP FARMED CKD MOIST HEAT,87.0,17.52,1.3,0.0
4381,OYSTER EASTERN WILD CKD DRY HEAT,79.0,8.87,2.65,4.23
4382,OYSTER EASTERN FARMED RAW,59.0,5.22,1.55,5.53
4383,OYSTER EASTERN FARMED CKD DRY HEAT,79.0,7.0,2.12,7.28
4384,SALMON COHO WILD CKD DRY HEAT,139.0,23.45,4.3,0.0
4385,CONCH BAKED OR BROILED,130.0,26.3,1.2,1.7
4386,USDA COMMODITY SALMON NUGGETS BREADED FRZ HTD,212.0,12.69,11.72,13.96
4387,USDA COMMODITY SALMON NUGGETS CKD AS PURCHASED UNHTD,189.0,11.97,10.43,11.85
4388,SALMON SOCKEYE CND TOTAL CAN CONTENTS,153.0,20.63,7.17,0.0
4389,FISH SALMON PINK CND DRND SOL,138.0,23.1,5.02,0.0
4390,FISH TILAPIA RAW,96.0,20.08,1.7,0.0
4391,FISH TILAPIA CKD DRY HEAT,128.0,26.15,2.65,0.0
4392,SALMON SOCKEYE CND DRND SOL WO/ SKN & BONES,158.0,26.33,5.87,0.0
4393,FISH SALMON PINK CND DRND SOL WO/ SKN & BONES,136.0,24.62,4.21,0.0
4394,BEANS ADZUKI MATURE SEEDS RAW,329.0,19.87,0.53,62.9
4395,BEANS ADZUKI MATURE SEEDS CKD BLD WO/SALT,128.0,7.52,0.1,24.77
4396,BEANS ADZUKI MATURE SEEDS CND SWTND,237.0,3.8,0.03,55.01
4397,BEANS ADZUKI YOKAN MATURE SEEDS,260.0,3.29,0.12,60.72
4398,BEANS BAKED HOME PREPARED,155.0,5.54,5.15,21.63
4399,BEANS BKD CND PLN OR VEGETARIAN,94.0,4.75,0.37,21.14
4400,BEANS BKD CND W/BF,121.0,6.38,3.45,16.91
4401,BEANS BKD CND W/FRANKS,142.0,6.75,6.57,15.39
4402,BEANS BKD CND W/PORK,106.0,5.19,1.55,19.99
4403,BEANS BKD CND W/PORK&SWT SAU,112.0,5.29,1.44,21.12
4404,BEANS BKD CND W/PORK&TOMATO SAU,94.0,5.15,0.93,18.69
4405,BEANS BLACK MATURE SEEDS RAW,341.0,21.6,1.42,62.36
4406,BEANS BLACK MATURE SEEDS CKD BLD WO/SALT,132.0,8.86,0.54,23.71
4407,BEANS BLACK TURTLE SOUP MATURE SEEDS RAW,339.0,21.25,0.9,63.25
4408,BEANS BLACK TURTLE SOUP MATURE SEEDS CKD BLD WO/SALT,130.0,8.18,0.35,24.35
4409,BEANS BLACK TURTLE SOUP MATURE SEEDS CND,91.0,6.03,0.29,16.56
4410,BEANS CRANBERRY (ROMAN) MATURE SEEDS RAW,335.0,23.03,1.23,60.05
4411,BEANS CRANBERRY (ROMAN) MATURE SEEDS CKD BLD WO/SALT,136.0,9.34,0.46,24.46
4412,BEANS CRANBERRY (ROMAN) MATURE SEEDS CND,83.0,5.54,0.28,15.12
4413,BEANS FRENCH MATURE SEEDS RAW,343.0,18.81,2.02,64.11
4414,BEANS FRENCH MATURE SEEDS CKD BLD WO/SALT,129.0,7.05,0.76,24.02
4415,BEANS GREAT NORTHERN MATURE SEEDS RAW,339.0,21.86,1.14,62.37
4416,BEANS GREAT NORTHERN MATURE SEEDS CKD BLD WO/SALT,118.0,8.33,0.45,21.09
4417,BEANS GREAT NORTHERN MATURE SEEDS CND,114.0,7.37,0.39,21.02
4418,BEANS KIDNEY ALL TYPES MATURE SEEDS RAW,333.0,23.58,0.83,60.01
4419,BEANS KIDNEY ALL TYPES MATURE SEEDS CKD BLD WO/SALT,127.0,8.67,0.5,22.8
4420,BEANS KIDNEY ALL TYPES MATURE SEEDS CND,82.0,5.22,0.6,14.5
4421,BEANS KIDNEY CALIFORNIA RED MATURE SEEDS RAW,330.0,24.37,0.25,59.8
4422,BEANS KIDNEY CALIFORNIA RED MATURE SEEDS CKD BLD WO/SALT,124.0,9.13,0.09,22.41
4423,BEANS KIDNEY RED MATURE SEEDS RAW,337.0,22.53,1.06,61.29
4424,BEANS KIDNEY RED MATURE SEEDS CKD BLD WO/SALT,127.0,8.67,0.5,22.8
4425,BEANS KIDNEY RED MATURE SEEDS CND SOL & LIQUIDS,81.0,5.22,0.36,14.83
4426,BEANS KIDNEY ROYAL RED MATURE SEEDS RAW,329.0,25.33,0.45,58.33
4427,BEANS KIDNEY ROYAL RED MATURE SEEDS CKD BLD WO/SALT,123.0,9.49,0.17,21.85
4428,BEANS NAVY MATURE SEEDS RAW,337.0,22.33,1.5,60.75
4429,BEANS NAVY MATURE SEEDS CKD BLD WO/SALT,140.0,8.23,0.62,26.05
4430,BEANS NAVY MATURE SEEDS CND,113.0,7.53,0.43,20.45
4431,BEANS PINK MATURE SEEDS RAW,343.0,20.96,1.13,64.19
4432,BEANS PINK MATURE SEEDS CKD BLD WO/SALT,149.0,9.06,0.49,27.91
4433,BEANS PINTO MATURE SEEDS RAW,347.0,21.42,1.23,62.55
4434,BEANS PINTO MATURE SEEDS CKD BLD WO/SALT,143.0,9.01,0.65,26.22
4435,BEANS PINTO MATURE SEEDS CND SOL & LIQUIDS,82.0,4.6,0.56,15.18
4436,BEANS SML WHITE MATURE SEEDS RAW,336.0,21.11,1.18,62.25
4437,BEANS SML WHITE MATURE SEEDS CKD BLD WO/SALT,142.0,8.97,0.64,25.81
4438,BEANS YEL MATURE SEEDS RAW,345.0,22.0,2.6,60.7
4439,BEANS YEL MATURE SEEDS CKD BLD WO/SALT,144.0,9.16,1.08,25.27
4440,BEANS WHITE MATURE SEEDS RAW,333.0,23.36,0.85,60.27
4441,BEANS WHITE MATURE SEEDS CKD BLD WO/SALT,139.0,9.73,0.35,25.09
4442,BEANS WHITE MATURE SEEDS CND,114.0,7.26,0.29,21.2
4443,BROADBEANS (FAVA BEANS) MATURE SEEDS RAW,341.0,26.12,1.53,58.29
4444,BROADBEANS (FAVA BNS) MATURE SEEDS CKD BLD WO/SALT,110.0,7.6,0.4,19.65
4445,BROADBEANS (FAVA BNS) MATURE SEEDS CND,71.0,5.47,0.22,12.41
4446,CAROB FLOUR,222.0,4.62,0.65,88.88
4447,CHICKPEAS (GARBANZO BNS BENGAL GM) MATURE SEEDS RAW,364.0,19.3,6.04,60.65
4448,CHICKPEAS  MATURE SEEDS CKD BLD WO/SALT,164.0,8.86,2.59,27.42
4449,CHICKPEAS (GARBANZO BNS BENGAL GRAM) MATURE SDS CND SOL&LIQ,88.0,4.92,1.95,13.49
4450,CHILI WITH BEANS CANNED,112.0,5.71,5.49,11.91
4451,COWPEAS CATJANG MATURE SEEDS RAW,343.0,23.85,2.07,59.64
4452,COWPEAS CATJANG MATURE SEEDS CKD BLD WO/SALT,117.0,8.13,0.71,20.32
4453,COWPEAS COMMON (BLACKEYES CROWDER SOUTHERN) MTRE SEEDS RAW,336.0,23.52,1.26,60.03
4454,COWPEAS COMMON (BLKEYES CRWDR STHRN) MTURE CKD BLD WO/SALT,116.0,7.73,0.53,20.76
4455,COWPEAS COMMON MATURE SEEDS CND PLN,77.0,4.74,0.55,13.63
4456,COWPEAS COMMON MATURE SEEDS CND W/PORK,83.0,2.74,1.6,16.53
4457,HYACINTH BNS MATURE SEEDS RAW,344.0,23.9,1.69,60.74
4458,HYACINTH BNS MATURE SEEDS CKD BLD WO/SALT,117.0,8.14,0.58,20.69
4459,LENTILS RAW,353.0,25.8,1.06,60.08
4460,LENTILS MATURE SEEDS CKD BLD WO/SALT,116.0,9.02,0.38,20.13
4461,LIMA BNS LRG MATURE SEEDS RAW,338.0,21.46,0.69,63.38
4462,LIMA BNS LRG MATURE SEEDS CKD BLD WO/SALT,115.0,7.8,0.38,20.88
4463,LIMA BNS LRG MATURE SEEDS CND,79.0,4.93,0.17,14.91
4464,LIMA BNS THIN SEEDED (BABY) MATURE SEEDS RAW,335.0,20.62,0.93,62.83
4465,LIMA BNS THIN SEEDED (BABY) MATURE SEEDS CKD BLD WO/SALT,126.0,8.04,0.38,23.31
4466,LUPINS MATURE SEEDS RAW,371.0,36.17,9.74,40.38
4467,LUPINS MATURE SEEDS CKD BLD WO/ SALT,119.0,15.57,2.92,9.88
4468,MOTHBEANS MATURE SEEDS RAW,343.0,22.94,1.61,61.52
4469,MOTHBEANS MATURE SEEDS CKD BLD WO/SALT,117.0,7.81,0.55,20.96
4470,MUNG BNS MATURE SEEDS RAW,347.0,23.86,1.15,62.62
4471,MUNG BNS MATURE SEEDS CKD BLD WO/SALT,105.0,7.02,0.38,19.15
4472,NOODLES CHINESE CELLOPHANE OR LONG RICE (MUNG BNS) DEHYD,351.0,0.16,0.06,86.09
4473,MUNGO BNS MATURE SEEDS RAW,341.0,25.21,1.64,58.99
4474,MUNGO BNS MATURE SEEDS CKD BLD WO/SALT,105.0,7.54,0.55,18.34
4475,PEAS SPLIT MATURE SEEDS RAW,341.0,24.55,1.16,60.37
4476,PEAS SPLIT MATURE SEEDS CKD BLD WO/SALT,118.0,8.34,0.39,21.1
4477,PEANUTS ALL TYPES RAW,567.0,25.8,49.24,16.13
4478,PEANUTS ALL TYPES CKD BLD W/SALT,318.0,13.5,22.01,21.26
4479,PEANUTS ALL TYPES OIL-ROASTED W/SALT,599.0,28.03,52.5,15.26
4480,PEANUTS ALL TYPES DRY-ROASTED W/SALT,585.0,23.68,49.66,21.51
4481,PEANUTS SPANISH RAW,570.0,26.15,49.6,15.82
4482,PEANUTS SPANISH OIL-ROASTED W/SALT,579.0,28.01,49.04,17.45
4483,PEANUTS VALENCIA RAW,570.0,25.09,47.58,20.91
4484,PEANUTS VALENCIA OIL-ROASTED W/SALT,589.0,27.04,51.24,16.3
4485,PEANUTS VIRGINIA RAW,563.0,25.19,48.75,16.54
4486,PEANUTS VIRGINIA OIL-ROASTED W/SALT,578.0,25.87,48.62,19.86
4487,PEANUT BUTTER CHUNK STYLE W/SALT,589.0,24.06,49.94,21.57
4488,PEANUT BUTTER SMOOTH STYLE W/ SALT,588.0,25.09,50.39,19.56
4489,PEANUT FLOUR DEFATTED,327.0,52.2,0.55,34.7
4490,PEANUT FLOUR LOW FAT,428.0,33.8,21.9,31.27
4491,PIGEON PEAS (RED GM) MATURE SEEDS RAW,343.0,21.7,1.49,62.78
4492,PIGEON PEAS (RED GM) MATURE SEEDS CKD BLD WO/SALT,121.0,6.76,0.38,23.25
4493,REFRIED BNS CND TRADITIONAL STYLE (INCLUDES USDA COMMODITY),91.0,5.41,1.17,15.26
4494,BACON MEATLESS,310.0,10.68,29.52,6.32
4495,MEAT EXTENDER,313.0,38.11,2.97,38.32
4496,SAUSAGE MEATLESS,257.0,18.53,18.16,9.84
4497,SOYBEANS MATURE SEEDS RAW,446.0,36.49,19.94,30.16
4498,SOYBEANS MATURE CKD BLD WO/SALT,173.0,16.64,8.97,9.93
4499,SOYBEANS MATURE SEEDS RSTD SALTED,471.0,35.22,25.4,33.55
4500,SOYBEANS MATURE SEEDS DRY RSTD,451.0,39.58,21.62,32.72
4501,MISO,199.0,11.69,6.01,26.47
4502,NATTO,212.0,17.72,11.0,14.36
4503,TEMPEH,193.0,18.54,10.8,9.39
4504,SOY FLOUR FULL-FAT RAW,436.0,34.54,20.65,35.19
4505,SOY FLR FULL-FAT RSTD,441.0,34.8,21.86,33.67
4506,SOY FLOUR DEFATTED,330.0,47.01,1.22,38.37
4507,SOY FLOUR LOW-FAT,375.0,45.51,8.9,34.93
4508,SOY MEAL DEFATTED RAW,339.0,44.95,2.39,40.14
4509,SOYMILK ORIGINAL & VANILLA UNFORTIFIED,54.0,3.27,1.75,6.28
4510,SOY PROT CONC PRODUCED BY ALCOHOL EXTRACTION,331.0,58.13,0.46,30.91
4511,SOY PROTEIN ISOLATE,338.0,80.69,3.39,7.36
4512,SOY SAU MADE FROM SOY&WHEAT (SHOYU),53.0,6.28,0.04,7.61
4513,SOY SAU MADE FROM SOY (TAMARI),60.0,10.51,0.1,5.57
4514,SOY SAU MADE FROM HYDROLYZED VEG PROT,40.0,2.43,0.08,7.73
